dataset,task,condition_id,seed,split,model,test_metric,routing_mode
atlas_het,node_classification,ov0.25_cross0.50,1,0,graphatlas_c_coordinate_relu,0.8265306353569031,certificate
atlas_het,node_classification,ov0.40_cross0.00,1,0,graphatlas_c_coordinate_relu,0.795918345451355,certificate
atlas_het,node_classification,ov0.40_cross0.15,1,0,graphatlas_c_coordinate_relu,0.795918345451355,certificate
atlas_het,node_classification,ov0.40_cross0.30,1,0,graphatlas_c_coordinate_relu,0.795918345451355,certificate
atlas_het,node_classification,ov0.40_cross0.50,1,0,graphatlas_c_coordinate_relu,0.795918345451355,certificate
atlas_het,node_classification,ov0.55_cross0.00,1,0,graphatlas_c_coordinate_relu,0.7857142686843872,certificate
atlas_het,node_classification,ov0.55_cross0.15,1,0,graphatlas_c_coordinate_relu,0.7857142686843872,certificate
atlas_het,node_classification,ov0.55_cross0.30,1,0,graphatlas_c_coordinate_relu,0.7857142686843872,certificate
atlas_het,node_classification,ov0.55_cross0.50,1,0,graphatlas_c_coordinate_relu,0.7857142686843872,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_coordinate_relu,0.7653061151504517,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_coordinate_relu,0.7653061151504517,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_coordinate_relu,0.7653061151504517,certificate
atlas_het,node_classification,ov0.10_cross0.50,2,0,graphatlas_c_coordinate_relu,0.7653061151504517,certificate
atlas_het,node_classification,ov0.25_cross0.00,2,0,graphatlas_c_coordinate_relu,0.6836734414100647,certificate
atlas_het,node_classification,ov0.25_cross0.15,2,0,graphatlas_c_coordinate_relu,0.6836734414100647,certificate
atlas_het,node_classification,ov0.25_cross0.30,2,0,graphatlas_c_coordinate_relu,0.6836734414100647,certificate
atlas_het,node_classification,ov0.25_cross0.50,2,0,graphatlas_c_coordinate_relu,0.6836734414100647,certificate
atlas_het,node_classification,ov0.40_cross0.00,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.40_cross0.15,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.40_cross0.30,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.40_cross0.50,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.55_cross0.00,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.55_cross0.15,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.55_cross0.30,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
atlas_het,node_classification,ov0.55_cross0.50,2,0,graphatlas_c_coordinate_relu,0.6734693646430969,certificate
